epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,122.125,3.52031,5.45734,23.7164,0.01706,3.90075,0.65642,0.61172,0.6199,0.34308,0.6181,0.56,0.45292,0.24697,4.68133,7.72943,29.0465,0.05808,0,8.812e-05,8.812e-05,8.812e-05
38,124.872,3.52756,5.08185,24.2943,0.01525,5.72041,0.72212,0.48,0.59528,0.30993,0.58022,0.48,0.45514,0.24019,4.98142,7.84169,27.4637,0.06068,0,8.779e-05,8.779e-05,8.779e-05
39,127.661,3.4957,4.85104,23.0327,0.0158,5.60043,0.72586,0.52,0.58988,0.31272,0.65764,0.48,0.48999,0.26277,4.94985,8.01612,31.0876,0.06087,0,8.746e-05,8.746e-05,8.746e-05
40,130.402,3.4759,4.80583,24.1097,0.01904,6.25586,0.82436,0.48,0.56513,0.29594,0.60634,0.4933,0.52347,0.26512,4.78284,7.71055,34.5306,0.05922,0,8.713e-05,8.713e-05,8.713e-05
41,133.087,3.91049,5.52603,26.6426,0.01604,4.55555,0.7855,0.48,0.56941,0.30987,0.67219,0.56,0.5281,0.25164,4.71831,7.64527,34.995,0.05813,0,8.68e-05,8.68e-05,8.68e-05
42,135.936,3.50813,5.13417,25.1886,0.01814,4.66019,0.82342,0.44,0.54907,0.31012,0.66231,0.56,0.53555,0.2509,4.89087,7.46803,32.5981,0.05907,0,8.647e-05,8.647e-05,8.647e-05
43,138.627,3.4958,4.90069,24.5666,0.01617,4.75917,0.90642,0.48,0.61539,0.32141,0.74021,0.4565,0.51835,0.23856,4.80747,7.65033,32.8301,0.05739,0,8.614e-05,8.614e-05,8.614e-05
44,141.413,3.11647,4.78211,22.1454,0.01647,4.06463,0.81678,0.53551,0.63587,0.33465,0.57646,0.52,0.50987,0.2541,4.75692,8.09047,31.656,0.05626,0,8.581e-05,8.581e-05,8.581e-05
45,144.18,2.97344,4.63917,21.623,0.01527,4.84951,0.80457,0.56,0.6465,0.33897,0.57568,0.56,0.49565,0.2452,4.74872,8.53887,29.9856,0.05712,0,8.548e-05,8.548e-05,8.548e-05
46,147.101,3.05885,4.40262,19.5644,0.0159,4.24467,0.78099,0.57099,0.66578,0.34501,0.45833,0.6,0.44045,0.23018,4.61768,9.24044,29.7254,0.0553,0,8.515e-05,8.515e-05,8.515e-05
47,149.91,2.94122,4.3396,18.9602,0.01531,4.4943,0.86241,0.52,0.64867,0.32882,0.47813,0.54998,0.43565,0.23346,4.35735,9.59575,33.8825,0.05104,0,8.482e-05,8.482e-05,8.482e-05
48,152.881,3.32242,4.74877,20.3686,0.0164,3.93229,0.7756,0.48,0.62374,0.34072,0.4617,0.6,0.40234,0.23211,4.23875,9.30487,33.7827,0.04852,0,8.449e-05,8.449e-05,8.449e-05
49,155.664,3.11763,4.67689,21.9841,0.01437,3.51801,0.75282,0.52,0.63384,0.35128,0.5119,0.52,0.45112,0.25757,4.23156,8.75525,33.9161,0.04881,0,8.416e-05,8.416e-05,8.416e-05
50,159.189,3.36197,4.7573,22.9908,0.01502,4.70947,0.67288,0.48,0.53085,0.31788,0.58263,0.52,0.47654,0.26249,4.25794,7.4225,38.0796,0.05023,0,8.383e-05,8.383e-05,8.383e-05
51,162.105,3.26912,4.83531,20.9515,0.01436,5.24431,0.89594,0.4,0.50909,0.29027,0.65345,0.48,0.44326,0.22307,4.30444,7.26532,40.4861,0.05078,0,8.35e-05,8.35e-05,8.35e-05
52,165.049,3.35607,4.86961,22.0814,0.01408,7.09748,0.83164,0.4,0.47986,0.24994,0.67586,0.36,0.35082,0.17603,4.49008,7.66848,41.6478,0.05444,0,8.317e-05,8.317e-05,8.317e-05
53,167.941,3.50262,4.75506,22.3843,0.01786,4.99466,0.81385,0.4,0.47489,0.24538,0.68938,0.35544,0.35871,0.17685,4.39354,7.77179,40.9535,0.05346,0,8.284e-05,8.284e-05,8.284e-05
54,170.774,2.86509,4.32489,19.3509,0.01659,4.30473,0.82613,0.4,0.51654,0.28895,0.54217,0.52,0.42905,0.22188,4.37109,7.80822,36.7529,0.05352,0,8.251e-05,8.251e-05,8.251e-05
55,173.576,3.23878,4.71242,20.6484,0.01544,4.67049,0.58317,0.6,0.56831,0.33128,0.58227,0.56,0.48911,0.26843,4.35888,8.99644,32.3902,0.05236,0,8.218e-05,8.218e-05,8.218e-05
56,176.52,3.26525,4.49766,20.4163,0.01392,4.56967,0.67861,0.59154,0.62569,0.35385,0.59686,0.52,0.53012,0.30193,4.34394,10.9321,30.9742,0.05097,0,8.185e-05,8.185e-05,8.185e-05
57,179.832,3.50585,4.81749,19.7897,0.01759,3.64689,0.67922,0.67767,0.63927,0.36264,0.65436,0.53046,0.53648,0.30297,4.46194,11.4169,30.2728,0.05246,0,8.152e-05,8.152e-05,8.152e-05
58,183.246,3.10417,4.4071,21.5996,0.01383,4.25988,0.70556,0.64,0.63773,0.34631,0.61621,0.56,0.51894,0.28105,4.53048,12.0782,32.9521,0.05308,0,8.119e-05,8.119e-05,8.119e-05
59,186.047,3.32118,4.3858,21.7958,0.01574,4.58859,0.79897,0.63607,0.68196,0.36955,0.69928,0.55817,0.53092,0.30553,4.63053,11.7162,32.0284,0.05477,0,8.086e-05,8.086e-05,8.086e-05
60,189.49,3.02884,4.36923,18.4126,0.01424,3.86805,0.77253,0.68,0.66383,0.36615,0.63342,0.56,0.52747,0.31595,4.60557,10.7025,32.9875,0.05547,0,8.053e-05,8.053e-05,8.053e-05
61,192.839,3.13152,4.62443,19.0824,0.0141,3.54192,0.67824,0.68,0.64376,0.35677,0.83322,0.59955,0.5707,0.32115,4.69574,9.99596,32.8593,0.05667,0,8.02e-05,8.02e-05,8.02e-05
62,195.753,3.22303,4.65689,20.4451,0.01742,3.43602,0.78175,0.6,0.62867,0.34088,0.74834,0.59494,0.549,0.28834,4.402,7.95834,33.0717,0.05264,0,7.987e-05,7.987e-05,7.987e-05
63,198.544,3.14358,4.98676,19.3561,0.01494,5.20937,0.72141,0.62193,0.64548,0.36897,0.81026,0.56,0.58431,0.31106,4.48972,7.44585,31.3409,0.05379,0,7.954e-05,7.954e-05,7.954e-05
64,201.384,3.04855,4.30663,18.9297,0.01754,3.86708,0.7953,0.52,0.55956,0.32624,0.7953,0.52,0.52332,0.27193,4.56777,6.76794,34.5162,0.05499,0,7.921e-05,7.921e-05,7.921e-05
65,204.205,3.19131,4.32784,16.9091,0.01495,3.46258,0.80998,0.52,0.5477,0.31639,0.80998,0.52,0.52361,0.26577,4.61566,6.77324,33.1111,0.05675,0,7.888e-05,7.888e-05,7.888e-05
66,207.146,3.33376,4.79851,21.3225,0.01545,4.32783,0.57853,0.56,0.52695,0.31853,0.62074,0.6,0.52165,0.25973,4.40084,6.71492,35.2406,0.05398,0,7.855e-05,7.855e-05,7.855e-05
67,209.965,3.24562,4.63712,18.3901,0.01466,3.02551,0.90878,0.48,0.58392,0.31215,0.61077,0.56,0.51673,0.25157,4.40892,6.72052,35.0078,0.054,0,7.822e-05,7.822e-05,7.822e-05
68,212.779,3.19104,4.50798,19.3641,0.01425,5.66976,0.86246,0.50232,0.59401,0.31163,0.71129,0.48,0.52423,0.26566,4.19731,6.76701,38.6032,0.04949,0,7.789e-05,7.789e-05,7.789e-05
69,215.622,3.28129,4.26844,19.437,0.01518,4.17928,0.8404,0.52,0.6088,0.31825,0.59949,0.6,0.53165,0.28445,4.26788,6.95785,36.9857,0.05047,0,7.756e-05,7.756e-05,7.756e-05
70,218.503,3.24131,4.60762,18.0019,0.01286,5.32127,0.58754,0.6,0.56734,0.31317,0.58862,0.6,0.52479,0.2816,4.52076,7.60517,34.934,0.05367,0,7.723e-05,7.723e-05,7.723e-05
71,221.36,3.03266,4.90624,19.039,0.01432,3.8555,0.77112,0.48,0.57766,0.34039,0.56983,0.6,0.548,0.30393,4.44246,7.72222,34.8291,0.05287,0,7.69e-05,7.69e-05,7.69e-05
72,224.323,3.05091,4.38714,18.1748,0.01401,3.84904,0.78726,0.44,0.57323,0.33131,0.78726,0.44,0.54644,0.29565,4.40391,7.78497,34.8376,0.05304,0,7.657e-05,7.657e-05,7.657e-05
73,227.09,3.03937,4.66383,20.9217,0.01311,3.86536,0.92041,0.4,0.56633,0.32381,0.5445,0.6,0.53925,0.28584,4.00004,7.57083,37.5144,0.04995,0,7.624e-05,7.624e-05,7.624e-05
74,229.908,3.04253,4.49471,18.8108,0.01298,4.12885,0.79462,0.44,0.54825,0.31401,0.63186,0.48,0.51081,0.25858,4.02861,7.43607,38.3609,0.04951,0,7.591e-05,7.591e-05,7.591e-05
75,232.79,3.14171,4.6605,16.8838,0.01473,4.00082,0.69356,0.45318,0.54976,0.30576,0.53977,0.56305,0.50414,0.26216,4.09847,7.39086,37.8169,0.04981,0,7.558e-05,7.558e-05,7.558e-05
76,235.646,3.21919,4.38039,18.6866,0.01335,4.06999,0.49737,0.5939,0.52206,0.29018,0.52664,0.62337,0.49249,0.25024,3.96896,7.12218,39.9964,0.04804,0,7.525e-05,7.525e-05,7.525e-05
